client_id	round	local_train_ms	encode_gradient_ms	prove_ms	proof_size_bytes	sign_ms	signature_size_bytes
0	0	14943.552	10.530	12.038	43	0.358	3309
1	0	5.514	0.041	15.650	43	0.316	3309
2	0	7.094	0.038	14.314	43	0.303	3309
3	0	14.638	0.047	13.464	43	0.270	3309
4	0	9.053	0.029	14.384	43	0.234	3309
5	0	5.349	0.038	14.649	43	0.212	3309
6	0	8.357	0.042	15.584	43	0.363	3309
7	0	5.741	0.050	16.710	43	0.298	3309
8	0	5.538	0.039	14.825	43	0.193	3309
9	0	9.042	0.091	13.665	43	0.281	3309
10	0	7.023	0.047	14.507	45	0.265	3309
11	0	8.216	0.040	14.393	45	0.194	3309
12	0	8.156	0.089	14.288	45	0.331	3309
13	0	6.828	0.035	14.545	45	0.342	3309
14	0	8.301	0.031	15.009	45	0.265	3309
15	0	6.570	0.041	14.791	45	0.273	3309
16	0	5.539	0.035	14.630	45	0.242	3309
17	0	5.282	0.026	15.746	45	0.261	3309
18	0	5.672	0.035	14.098	45	0.266	3309
19	0	6.827	0.036	13.916	45	0.510	3309
20	0	9.084	0.042	14.216	45	0.457	3309
21	0	5.151	0.037	16.256	45	0.690	3309
22	0	8.261	0.038	15.099	45	0.364	3309
23	0	6.584	0.038	14.329	45	0.249	3309
24	0	7.075	0.040	14.806	45	0.259	3309
25	0	6.438	0.043	13.879	45	0.227	3309
26	0	8.579	0.049	14.277	45	0.203	3309
27	0	7.112	0.031	15.355	45	0.688	3309
28	0	9.345	0.047	15.035	45	0.483	3309
29	0	7.145	0.131	16.654	45	0.507	3309
30	0	6.580	0.116	14.389	45	0.298	3309
31	0	6.149	0.041	16.572	45	0.159	3309
32	0	5.896	0.037	15.726	45	0.304	3309
33	0	5.975	0.039	14.191	45	0.335	3309
34	0	5.236	0.037	15.580	45	0.524	3309
35	0	7.089	0.024	14.693	45	0.219	3309
36	0	12.933	0.055	28.828	45	0.500	3309
37	0	9.738	0.065	34.481	45	0.321	3309
38	0	11.638	0.061	19.636	45	0.180	3309
39	0	8.766	0.058	18.039	45	0.228	3309
40	0	7.329	0.124	17.949	45	0.181	3309
41	0	11.327	0.064	19.591	45	0.643	3309
42	0	9.239	0.060	19.033	45	0.190	3309
43	0	8.705	0.050	19.395	45	0.427	3309
44	0	8.481	0.059	18.426	45	0.449	3309
45	0	10.409	0.074	19.563	45	0.489	3309
46	0	10.679	0.079	19.596	45	0.349	3309
47	0	8.379	0.058	19.482	45	0.255	3309
48	0	7.823	0.053	19.101	45	0.305	3309
49	0	8.829	0.039	18.324	45	0.354	3309
50	0	9.300	0.077	21.284	45	0.345	3309
51	0	9.350	0.049	18.203	45	0.263	3309
52	0	9.944	0.063	20.105	45	0.478	3309
53	0	11.145	0.045	18.900	45	0.429	3309
54	0	7.953	0.032	18.565	45	0.290	3309
55	0	10.516	0.058	21.322	45	0.343	3309
56	0	7.356	0.056	18.997	45	0.383	3309
57	0	10.206	0.063	19.810	45	0.376	3309
58	0	9.019	0.059	20.366	45	0.385	3309
59	0	5.767	0.043	16.850	45	0.533	3309
60	0	6.226	0.036	14.470	45	0.339	3309
61	0	6.051	0.034	14.105	45	0.218	3309
62	0	8.200	0.056	20.221	45	0.231	3309
63	0	8.959	0.062	16.397	45	0.582	3309
64	0	6.948	0.044	14.162	45	0.405	3309
65	0	6.570	0.037	15.019	45	0.252	3309
66	0	7.744	0.053	15.638	45	0.478	3309
67	0	6.638	0.041	15.069	45	0.186	3309
68	0	6.921	0.040	15.763	45	0.439	3309
69	0	7.100	0.037	14.560	45	0.205	3309
70	0	5.586	0.035	14.528	45	0.881	3309
71	0	7.227	0.031	15.755	45	0.406	3309
72	0	8.120	0.051	14.851	45	0.287	3309
73	0	5.842	0.036	14.497	45	0.381	3309
74	0	6.181	0.040	15.160	45	0.378	3309
75	0	7.981	0.036	14.741	45	0.412	3309
76	0	5.929	0.044	14.328	45	0.364	3309
77	0	5.841	0.034	14.384	45	0.299	3309
78	0	7.585	0.061	18.989	45	0.277	3309
79	0	9.651	0.059	17.605	45	0.473	3309
80	0	8.274	0.057	19.303	45	0.345	3309
81	0	7.229	0.026	19.314	45	0.350	3309
82	0	8.929	0.052	19.695	45	0.294	3309
83	0	8.924	0.051	18.603	45	0.300	3309
84	0	9.001	0.049	18.255	45	0.306	3309
85	0	8.623	0.061	17.907	45	0.347	3309
86	0	7.926	0.028	18.956	45	0.317	3309
87	0	9.508	0.053	18.062	45	0.237	3309
88	0	8.140	0.040	18.339	45	0.983	3309
89	0	8.412	0.058	18.223	45	0.255	3309
90	0	8.537	0.044	17.997	45	0.434	3309
91	0	7.229	0.060	18.182	45	0.350	3309
92	0	9.037	0.188	17.809	45	0.451	3309
93	0	10.901	0.055	17.933	45	0.509	3309
94	0	9.869	0.052	23.167	45	0.296	3309
95	0	8.412	0.063	14.728	45	0.289	3309
96	0	5.285	0.049	14.936	45	0.240	3309
97	0	5.183	0.044	15.409	45	0.166	3309
98	0	8.019	0.052	16.110	45	0.418	3309
99	0	6.023	0.038	14.628	45	0.182	3309
0	1	4.841	0.028	14.361	43	0.576	3309
1	1	8.406	0.043	12.621	43	0.442	3309
2	1	5.451	0.061	13.523	43	0.409	3309
3	1	7.788	0.029	13.712	43	0.152	3309
4	1	5.428	0.028	12.798	43	0.297	3309
5	1	6.892	0.043	13.862	43	0.311	3309
6	1	6.982	0.036	14.502	43	0.641	3309
7	1	9.058	0.064	12.719	43	0.275	3309
8	1	6.779	0.040	23.481	43	0.240	3309
9	1	9.488	0.159	13.504	43	0.189	3309
10	1	9.456	0.055	13.269	45	0.982	3309
11	1	7.541	0.032	13.010	45	0.368	3309
12	1	5.715	0.037	13.282	45	0.169	3309
13	1	6.227	0.031	12.158	45	0.298	3309
14	1	6.295	0.029	13.218	45	0.223	3309
15	1	8.325	0.039	14.129	45	0.334	3309
16	1	5.955	0.034	13.870	45	0.249	3309
17	1	7.018	0.026	19.498	45	0.414	3309
18	1	8.770	0.131	15.195	45	0.415	3309
19	1	11.426	0.069	15.454	45	0.996	3309
20	1	10.650	0.606	16.058	45	0.416	3309
21	1	8.058	0.100	15.512	45	0.390	3309
22	1	9.880	0.062	13.024	45	0.311	3309
23	1	6.597	0.072	13.969	45	0.253	3309
24	1	7.448	0.042	12.986	45	0.422	3309
25	1	8.356	0.046	14.873	45	0.230	3309
26	1	5.475	0.046	14.432	45	0.189	3309
27	1	8.979	0.029	14.946	45	0.231	3309
28	1	6.029	0.026	14.669	45	0.685	3309
29	1	6.719	0.057	14.035	45	0.496	3309
30	1	5.455	0.036	14.724	45	0.280	3309
31	1	5.992	0.025	13.861	45	0.313	3309
32	1	7.399	0.054	15.442	45	0.443	3309
33	1	8.816	0.045	14.248	45	0.208	3309
34	1	5.352	0.034	16.621	45	0.299	3309
35	1	5.852	0.027	15.161	45	0.331	3309
36	1	5.611	0.036	14.687	45	0.456	3309
37	1	6.886	0.042	17.940	45	0.493	3309
38	1	8.313	0.057	21.208	45	0.443	3309
39	1	9.308	0.059	18.089	45	0.501	3309
40	1	8.986	0.058	17.026	45	0.367	3309
41	1	9.749	0.094	17.713	45	0.282	3309
42	1	7.705	0.048	18.123	45	0.309	3309
43	1	8.339	0.056	17.362	45	0.494	3309
44	1	11.439	0.156	17.212	45	0.257	3309
45	1	8.771	0.049	18.250	45	0.238	3309
46	1	11.650	0.053	17.707	45	0.254	3309
47	1	10.002	0.069	19.114	45	0.546	3309
48	1	8.170	0.055	17.732	45	0.203	3309
49	1	8.768	0.058	19.719	45	0.308	3309
50	1	7.843	0.047	18.460	45	0.366	3309
51	1	10.550	0.061	17.064	45	0.264	3309
52	1	7.855	0.097	19.138	45	0.348	3309
53	1	8.339	0.058	19.966	45	0.353	3309
54	1	11.416	0.059	13.859	45	0.352	3309
55	1	5.489	0.105	14.633	45	0.204	3309
56	1	6.840	0.072	14.240	45	0.392	3309
57	1	5.654	0.035	16.006	45	0.303	3309
58	1	8.693	0.065	15.934	45	0.272	3309
59	1	8.272	0.040	14.245	45	0.355	3309
60	1	5.180	0.037	14.782	45	0.233	3309
61	1	6.025	0.038	15.279	45	0.525	3309
62	1	5.489	0.033	14.726	45	0.487	3309
63	1	6.241	0.039	14.633	45	0.374	3309
64	1	5.565	0.025	16.156	45	0.275	3309
65	1	6.055	0.073	16.161	45	0.280	3309
66	1	5.479	0.038	14.093	45	0.269	3309
67	1	7.338	0.043	16.799	45	0.215	3309
68	1	7.206	0.057	14.312	45	0.195	3309
69	1	5.398	0.024	17.289	45	0.332	3309
70	1	8.579	0.057	18.971	45	0.443	3309
71	1	10.082	0.041	17.912	45	0.270	3309
72	1	8.109	0.066	17.511	45	0.613	3309
73	1	10.173	0.068	17.608	45	0.392	3309
74	1	7.661	0.085	17.637	45	0.944	3309
75	1	7.774	0.040	18.082	45	0.257	3309
76	1	9.203	0.059	17.713	45	0.241	3309
77	1	17.227	0.026	17.166	45	0.459	3309
78	1	8.318	0.046	19.387	45	0.308	3309
79	1	7.996	0.053	18.153	45	0.320	3309
80	1	7.656	0.106	18.796	45	0.521	3309
81	1	8.912	0.035	23.129	45	0.589	3309
82	1	9.037	0.160	18.144	45	0.233	3309
83	1	8.820	0.046	18.392	45	0.629	3309
84	1	8.706	0.061	17.540	45	0.276	3309
85	1	9.287	0.053	19.572	45	0.324	3309
86	1	8.320	0.024	14.496	45	0.410	3309
87	1	6.452	0.042	15.021	45	0.268	3309
88	1	5.993	0.050	16.277	45	0.279	3309
89	1	7.307	0.037	14.252	45	0.445	3309
90	1	7.113	0.061	17.043	45	0.661	3309
91	1	7.839	0.035	15.903	45	0.482	3309
92	1	9.057	0.054	17.615	45	0.296	3309
93	1	7.713	0.041	15.232	45	0.301	3309
94	1	6.511	0.030	14.548	45	0.286	3309
95	1	5.231	0.037	15.266	45	0.209	3309
96	1	5.703	0.038	16.411	45	0.223	3309
97	1	5.944	0.036	15.970	45	0.627	3309
98	1	6.624	0.037	16.108	45	0.257	3309
99	1	6.463	0.044	16.257	45	0.631	3309
0	2	8.580	0.057	16.103	43	0.383	3309
1	2	8.342	0.064	16.056	43	0.520	3309
