client_id	round	verify_signature_ms	verify_proof_ms
0	0	0.266	0.002
1	0	0.229	0.002
2	0	0.197	0.001
3	0	0.212	0.001
4	0	0.252	0.001
5	0	0.162	0.001
6	0	0.191	0.002
7	0	0.177	0.001
8	0	0.157	0.001
9	0	0.163	0.001
10	0	0.220	0.002
11	0	0.369	0.002
12	0	0.152	0.001
13	0	0.169	0.001
14	0	0.191	0.001
15	0	0.208	0.001
16	0	0.159	0.001
17	0	0.216	0.001
18	0	0.270	0.001
19	0	0.154	0.001
20	0	0.148	0.001
21	0	0.188	0.001
22	0	0.157	0.001
23	0	0.166	0.001
24	0	0.231	0.002
25	0	0.225	0.001
26	0	0.176	0.001
27	0	0.198	0.003
28	0	0.149	0.001
29	0	0.219	0.001
30	0	0.153	0.001
31	0	0.228	0.002
32	0	0.202	0.001
33	0	0.235	0.001
34	0	0.178	0.001
35	0	0.209	0.001
36	0	0.233	0.001
37	0	0.205	0.001
38	0	0.166	0.001
39	0	0.156	0.001
40	0	0.148	0.001
41	0	0.161	0.001
42	0	0.202	0.004
43	0	0.166	0.001
44	0	0.233	0.001
45	0	0.247	0.001
46	0	0.286	0.002
47	0	0.283	0.002
48	0	0.194	0.002
49	0	0.164	0.001
50	0	0.233	0.002
51	0	0.220	0.002
52	0	0.264	0.001
53	0	0.253	0.001
54	0	0.215	0.001
55	0	0.242	0.001
56	0	0.224	0.002
57	0	0.273	0.001
58	0	0.305	0.002
59	0	0.257	0.002
60	0	0.258	0.002
61	0	0.173	0.001
62	0	0.234	0.002
63	0	0.230	0.002
64	0	0.169	0.001
65	0	0.160	0.001
66	0	0.237	0.002
67	0	0.269	0.001
68	0	0.266	0.001
69	0	0.239	0.001
70	0	0.251	0.002
71	0	0.273	0.001
72	0	0.163	0.001
73	0	0.209	0.002
74	0	0.225	0.001
75	0	0.255	0.002
76	0	0.301	0.001
77	0	0.219	0.001
78	0	0.198	0.001
79	0	0.317	0.002
80	0	0.191	0.001
81	0	0.162	0.001
82	0	0.211	0.001
83	0	0.253	0.002
84	0	0.228	0.002
85	0	0.224	0.002
86	0	0.310	0.001
87	0	0.234	0.001
88	0	0.264	0.002
89	0	0.205	0.001
90	0	0.161	0.001
91	0	0.223	0.002
92	0	0.226	0.001
93	0	0.205	0.001
94	0	0.236	0.002
95	0	0.223	0.002
96	0	0.277	0.002
97	0	0.169	0.001
98	0	0.273	0.002
99	0	0.165	0.001
0	1	0.337	0.001
1	1	0.234	0.002
2	1	0.302	0.002
3	1	0.232	0.001
4	1	0.261	0.001
5	1	0.230	0.001
6	1	0.173	0.009
7	1	0.162	0.001
8	1	0.221	0.001
9	1	0.259	0.002
10	1	0.235	0.002
11	1	0.253	0.003
12	1	0.232	0.002
13	1	0.231	0.001
14	1	0.231	0.002
15	1	0.293	0.002
16	1	0.192	0.001
17	1	0.257	0.002
18	1	0.233	0.002
19	1	0.253	0.001
20	1	0.217	0.001
21	1	0.252	0.001
22	1	0.184	0.001
23	1	0.204	0.001
24	1	0.183	0.001
25	1	0.319	0.002
26	1	0.256	0.002
27	1	0.269	0.002
28	1	0.170	0.001
29	1	0.288	0.002
30	1	0.268	0.001
31	1	0.166	0.001
32	1	0.252	0.001
33	1	0.173	0.001
34	1	0.276	0.001
35	1	0.231	0.001
36	1	0.197	0.002
37	1	0.256	0.002
38	1	0.312	0.002
39	1	0.268	0.002
40	1	0.223	0.001
41	1	0.295	0.002
42	1	0.279	0.002
43	1	0.297	0.002
44	1	0.243	0.002
45	1	0.226	0.001
46	1	0.163	0.001
47	1	0.258	0.002
48	1	0.286	0.002
49	1	0.235	0.002
50	1	0.245	0.002
51	1	0.250	0.002
52	1	0.274	0.002
53	1	0.227	0.002
54	1	0.226	0.002
55	1	0.282	0.001
56	1	0.268	0.002
57	1	0.232	0.001
58	1	0.250	0.002
59	1	0.244	0.001
60	1	0.216	0.002
61	1	0.167	0.001
62	1	0.262	0.002
63	1	0.173	0.001
64	1	0.260	0.001
65	1	0.295	0.006
66	1	0.271	0.002
67	1	0.224	0.002
68	1	0.256	0.001
69	1	0.275	0.001
70	1	0.213	0.001
71	1	0.233	0.001
72	1	0.233	0.002
73	1	0.260	0.002
74	1	0.289	0.002
75	1	0.225	0.001
76	1	0.157	0.001
77	1	0.185	0.001
78	1	0.273	0.001
79	1	0.176	0.001
80	1	0.157	0.001
81	1	0.202	0.001
82	1	0.235	0.005
83	1	0.154	0.001
84	1	0.154	0.001
85	1	0.197	0.001
86	1	0.209	0.001
87	1	0.150	0.001
88	1	0.203	0.001
89	1	0.177	0.001
90	1	0.229	0.002
91	1	0.151	0.001
92	1	0.213	0.001
93	1	0.230	0.001
94	1	0.169	0.001
95	1	0.228	0.001
96	1	0.172	0.001
97	1	0.161	0.001
98	1	0.207	0.001
99	1	0.212	0.001
0	2	0.347	0.003
1	2	0.240	0.002
2	2	0.251	0.001
3	2	0.290	0.002
4	2	0.179	0.001
5	2	0.242	0.001
6	2	0.215	0.002
7	2	0.260	0.002
8	2	0.212	0.002
9	2	0.216	0.001
10	2	0.271	0.002
11	2	0.218	0.007
12	2	0.220	0.002
13	2	0.266	0.001
14	2	0.216	0.001
15	2	0.219	0.001
16	2	0.167	0.001
17	2	0.285	0.001
18	2	0.231	0.002
19	2	0.197	0.001
20	2	0.228	0.001
21	2	0.229	0.002
22	2	0.204	0.001
23	2	0.160	0.001
24	2	0.299	0.002
25	2	0.196	0.001
26	2	0.227	0.001
27	2	0.229	0.002
28	2	0.183	0.002
29	2	0.223	0.002
30	2	0.216	0.001
31	2	0.241	0.001
32	2	0.187	0.001
33	2	0.225	0.001
34	2	0.262	0.001
35	2	0.251	0.002
36	2	0.163	0.001
37	2	0.168	0.001
38	2	0.167	0.001
39	2	0.257	0.002
40	2	0.241	0.001
41	2	0.159	0.001
42	2	0.253	0.001
43	2	0.234	0.001
44	2	0.272	0.002
45	2	0.267	0.001
46	2	0.180	0.001
47	2	0.255	0.002
48	2	0.265	0.002
49	2	0.232	0.001
50	2	0.255	0.006
51	2	0.227	0.002
52	2	0.207	0.002
53	2	0.233	0.002
54	2	0.219	0.001
55	2	0.292	0.002
56	2	0.207	0.001
57	2	0.233	0.001
58	2	0.240	0.001
59	2	0.300	0.002
60	2	0.341	0.002
61	2	0.224	0.001
62	2	0.230	0.001
63	2	0.216	0.001
64	2	0.305	0.002
65	2	0.279	0.002
66	2	0.221	0.001
67	2	0.167	0.001
68	2	0.218	0.002
69	2	0.184	0.001
70	2	0.213	0.001
71	2	0.153	0.001
72	2	0.151	0.001
73	2	0.230	0.001
74	2	0.150	0.001
75	2	0.326	0.002
76	2	0.195	0.001
77	2	0.214	0.001
78	2	0.151	0.001
79	2	0.150	0.001
80	2	0.181	0.001
81	2	0.194	0.001
82	2	0.154	0.001
83	2	0.153	0.001
84	2	0.210	0.002
85	2	0.156	0.001
86	2	0.233	0.001
87	2	0.170	0.001
88	2	0.204	0.001
89	2	0.154	0.004
90	2	0.216	0.001
91	2	0.154	0.001
92	2	0.235	0.001
93	2	0.208	0.001
94	2	0.158	0.001
95	2	0.202	0.002
96	2	0.174	0.005
97	2	0.165	0.001
98	2	0.215	0.001
99	2	0.203	0.001
